"","gutenberg_id","text"
"459",5230,"resolved to ascertain more about the personality of his guest at"
"460",5230,"the earliest possible opportunity. And after the stranger had gone"
"461",5230,"to bed, which he did about half-past nine, Mr. Hall went very"
"462",5230,"aggressively into the parlour and looked very hard at his wife's"
"463",5230,"furniture, just to show that the stranger wasn't master there,"
"464",5230,"and scrutinised closely and a little contemptuously a sheet of"
"465",5230,"mathematical computations the stranger had left. When retiring"
"466",5230,"for the night he instructed Mrs. Hall to look very closely at"
"467",5230,"the stranger's luggage when it came next day."
"468",5230,""
"469",5230,"""You mind your own business, Hall,"" said Mrs. Hall, ""and I'll mind"
"470",5230,"mine."""
"471",5230,""
"472",5230,"She was all the more inclined to snap at Hall because the stranger"
"473",5230,"was undoubtedly an unusually strange sort of stranger, and she was"
"474",5230,"by no means assured about him in her own mind. In the middle of the"
"475",5230,"night she woke up dreaming of huge white heads like turnips, that"
"476",5230,"came trailing after her, at the end of interminable necks, and with"
"477",5230,"vast black eyes. But being a sensible woman, she subdued her"
"478",5230,"terrors and turned over and went to sleep again."
"479",5230,""
"480",5230,""
"481",5230,""
"482",5230,"CHAPTER III"
"483",5230,""
"484",5230,"THE THOUSAND AND ONE BOTTLES"
"485",5230,""
"486",5230,""
"487",5230,"So it was that on the twenty-ninth day of February, at the beginning"
"488",5230,"of the thaw, this singular person fell out of infinity into Iping"
"489",5230,"village. Next day his luggage arrived through the slush--and very"
"490",5230,"remarkable luggage it was. There were a couple of trunks indeed,"
"491",5230,"such as a rational man might need, but in addition there were"
"492",5230,"a box of books--big, fat books, of which some were just in an"
"493",5230,"incomprehensible handwriting--and a dozen or more crates, boxes,"
"494",5230,"and cases, containing objects packed in straw, as it seemed to"
"495",5230,"Hall, tugging with a casual curiosity at the straw--glass bottles."
"496",5230,"The stranger, muffled in hat, coat, gloves, and wrapper, came out"
"497",5230,"impatiently to meet Fearenside's cart, while Hall was having a word"
"498",5230,"or so of gossip preparatory to helping bring them in. Out he came,"
"499",5230,"not noticing Fearenside's dog, who was sniffing in a _dilettante_"
"500",5230,"spirit at Hall's legs. ""Come along with those boxes,"" he said."
"501",5230,"""I've been waiting long enough."""
"502",5230,""
"503",5230,"And he came down the steps towards the tail of the cart as if to"
"504",5230,"lay hands on the smaller crate."
"505",5230,""
"506",5230,"No sooner had Fearenside's dog caught sight of him, however, than"
"507",5230,"it began to bristle and growl savagely, and when he rushed down the"
"508",5230,"steps it gave an undecided hop, and then sprang straight at his"
"509",5230,"hand. ""Whup!"" cried Hall, jumping back, for he was no hero with"
"510",5230,"dogs, and Fearenside howled, ""Lie down!"" and snatched his whip."
"511",5230,""
"512",5230,"They saw the dog's teeth had slipped the hand, heard a kick, saw the"
"513",5230,"dog execute a flanking jump and get home on the stranger's leg, and"
"514",5230,"heard the rip of his trousering. Then the finer end of Fearenside's"
"515",5230,"whip reached his property, and the dog, yelping with dismay,"
"516",5230,"retreated under the wheels of the waggon. It was all the business of"
"517",5230,"a swift half-minute. No one spoke, everyone shouted. The stranger"
"518",5230,"glanced swiftly at his torn glove and at his leg, made as if he"
"519",5230,"would stoop to the latter, then turned and rushed swiftly up the"
"520",5230,"steps into the inn. They heard him go headlong across the passage"
"521",5230,"and up the uncarpeted stairs to his bedroom."
"522",5230,""
"523",5230,"""You brute, you!"" said Fearenside, climbing off the waggon with his"
"524",5230,"whip in his hand, while the dog watched him through the wheel."
"525",5230,"""Come here,"" said Fearenside--""You'd better."""
"526",5230,""
"527",5230,"Hall had stood gaping. ""He wuz bit,"" said Hall. ""I'd better go and"
"528",5230,"see to en,"" and he trotted after the stranger. He met Mrs. Hall in"
"529",5230,"the passage. ""Carrier's darg,"" he said ""bit en."""
"530",5230,""
"531",5230,"He went straight upstairs, and the stranger's door being ajar, he"
"532",5230,"pushed it open and was entering without any ceremony, being of a"
"533",5230,"naturally sympathetic turn of mind."
"534",5230,""
"535",5230,"The blind was down and the room dim. He caught a glimpse of a most"
"536",5230,"singular thing, what seemed a handless arm waving towards him, and"
"537",5230,"a face of three huge indeterminate spots on white, very like the"
"538",5230,"face of a pale pansy. Then he was struck violently in the chest,"
"539",5230,"hurled back, and the door slammed in his face and locked. It was so"
"540",5230,"rapid that it gave him no time to observe. A waving of indecipherable"
"541",5230,"shapes, a blow, and a concussion. There he stood on the dark little"
"542",5230,"landing, wondering what it might be that he had seen."
"543",5230,""
"544",5230,"A couple of minutes after, he rejoined the little group that had"
"545",5230,"formed outside the ""Coach and Horses."" There was Fearenside telling"
"546",5230,"about it all over again for the second time; there was Mrs. Hall"
"547",5230,"saying his dog didn't have no business to bite her guests; there"
"548",5230,"was Huxter, the general dealer from over the road, interrogative;"
"549",5230,"and Sandy Wadgers from the forge, judicial; besides women and"
"550",5230,"children, all of them saying fatuities: ""Wouldn't let en bite"
"551",5230,"_me_, I knows""; ""'Tasn't right _have_ such dargs""; ""Whad _'e_ bite"
"552",5230,"'n for, then?"" and so forth."
"553",5230,""
"554",5230,"Mr. Hall, staring at them from the steps and listening, found it"
"555",5230,"incredible that he had seen anything so very remarkable happen"
